symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
RELI,2019-04-02 00:00:00+00:00,0.15,0.1575,0.1425,0.15,50985,192.8475,202.489875,183.205125,192.8475,39,0.0,1.0
RELI,2019-04-03 00:00:00+00:00,0.163,0.163,0.142,0.15,112231,209.56095,209.56095,182.5623,192.8475,87,0.0,1.0
RELI,2019-04-04 00:00:00+00:00,0.15,0.163,0.143,0.143,48012,192.8475,209.56095,183.84795,183.84795,37,0.0,1.0
RELI,2019-04-05 00:00:00+00:00,0.1593,0.16,0.145,0.15,45582,204.804045,205.704,186.41925,192.8475,35,0.0,1.0
RELI,2019-04-08 00:00:00+00:00,0.158464,0.1592,0.15,0.15,29300,203.7292416,204.67548,192.8475,192.8475,22,0.0,1.0
RELI,2019-04-09 00:00:00+00:00,0.16,0.1629,0.148,0.15545,38350,205.704,209.432385,190.2762,199.8542925,29,0.0,1.0
RELI,2019-04-10 00:00:00+00:00,0.16,0.1748,0.1525,0.1748,10000,205.704,224.73162,196.061625,224.73162,7,0.0,1.0
RELI,2019-04-11 00:00:00+00:00,0.15,0.1629,0.145,0.15,31925,192.8475,209.432385,186.41925,192.8475,24,0.0,1.0
RELI,2019-04-12 00:00:00+00:00,0.15,0.17,0.145,0.17,52950,192.8475,218.5605,186.41925,218.5605,41,0.0,1.0
RELI,2019-04-15 00:00:00+00:00,0.137,0.155,0.125,0.155,225806,176.13405,199.27575,160.70625,199.27575,175,0.0,1.0
RELI,2019-04-16 00:00:00+00:00,0.14825,0.153,0.138,0.138,202585,190.5976125,196.70445,177.4197,177.4197,157,0.0,1.0
RELI,2019-04-17 00:00:00+00:00,0.1379,0.14708,0.11,0.14708,639163,177.291135,189.093402,141.4215,189.093402,497,0.0,1.0
RELI,2019-04-18 00:00:00+00:00,0.1389,0.13945,0.1268,0.1268,90794,178.576785,179.2838925,163.02042,163.02042,70,0.0,1.0
RELI,2019-04-22 00:00:00+00:00,0.1296,0.13245,0.115,0.1268,310720,166.62024,170.2843425,147.84975,163.02042,241,0.0,1.0
RELI,2019-04-23 00:00:00+00:00,0.141,0.1499,0.1265,0.1425,81395,181.27665,192.718935,162.634725,183.205125,63,0.0,1.0
RELI,2019-04-24 00:00:00+00:00,0.1399,0.15995,0.1222,0.15995,182229,179.862435,205.6397175,157.10643,205.6397175,141,0.0,1.0
